permit_number,issue_date,estimated_completion,city,state,county,fips_code,latitude,longitude,permit_type,zoning_classification,square_footage,project_valuation,status,contractor_licensed,environmental_review,flood_zone,nearest_epa_station,data_source,public_record
BP-2025042,2025-11-13,2026-02-13,Wichita,KS,Sedgwick,20173,36.332128,-97.795442,Mixed-Use Development,C-1 Neighborhood Commercial,37213,3790979.78,Completed,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025043,2025-08-17,2027-01-06,Norman,OK,Cleveland,40027,36.732808,-95.947285,New Commercial Construction,C-1 Neighborhood Commercial,48665,12883520.31,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025044,2025-12-06,2026-04-06,Norman,OK,Cleveland,40027,35.327786,-96.8209,Industrial Build-Out,C-2 General Commercial,3192,835382.57,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025045,2025-07-01,2025-10-28,Oklahoma City,OK,Oklahoma,40109,36.280231,-95.980997,Food Processing Facility,PUD Planned Unit Development,58525,9273982.48,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025046,2026-05-24,2026-12-29,Oklahoma City,OK,Oklahoma,40109,36.083461,-96.389186,Mixed-Use Development,M-1 Medical District,48956,6534569.8,Completed,Pending,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025047,2025-02-03,2026-01-09,Tulsa,OK,Tulsa,40143,35.356252,-96.811523,Office Park,C-1 Neighborhood Commercial,29634,8983929.35,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025048,2025-04-01,2026-05-03,Oklahoma City,OK,Oklahoma,40109,35.765201,-97.476533,Commercial Renovation,M-1 Medical District,23198,5435454.32,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025049,2026-02-02,2027-04-15,Norman,OK,Cleveland,40027,37.357082,-97.623717,Warehouse/Distribution,PUD Planned Unit Development,63682,14584481.73,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025050,2026-03-10,2026-04-11,Broken Arrow,OK,Tulsa,40143,35.726227,-96.469261,Food Processing Facility,M-1 Medical District,7998,1623577.22,Issued,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025051,2025-04-13,2026-09-08,Wichita,KS,Sedgwick,20173,36.457282,-97.442679,Commercial Renovation,PUD Planned Unit Development,39344,11322165.41,Completed,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025052,2026-03-26,2027-07-21,Wichita,KS,Sedgwick,20173,35.368581,-96.09298,Warehouse/Distribution,C-2 General Commercial,10107,1727364.39,Issued,Yes,Pending,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025053,2026-01-11,2026-11-15,Wichita,KS,Sedgwick,20173,37.418652,-97.703257,Commercial Renovation,C-2 General Commercial,53198,10645950.95,Issued,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025054,2025-10-05,2026-10-17,Oklahoma City,OK,Oklahoma,40109,35.647522,-96.335191,Office Park,C-1 Neighborhood Commercial,47126,11532226.12,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025055,2026-04-03,2027-03-26,Oklahoma City,OK,Oklahoma,40109,36.239726,-96.01695,Industrial Build-Out,C-1 Neighborhood Commercial,54461,8551585.71,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025056,2025-09-14,2026-08-18,Oklahoma City,OK,Oklahoma,40109,37.277988,-96.824162,Medical Facility,M-1 Medical District,49456,9881486.67,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025057,2025-12-17,2026-09-11,Wichita,KS,Sedgwick,20173,37.442139,-97.290564,Mixed-Use Development,I-1 Light Industrial,65855,12798172.8,Under Review,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025058,2026-02-26,2026-06-28,Wichita,KS,Sedgwick,20173,37.373221,-96.609729,Food Processing Facility,PUD Planned Unit Development,16605,1750330.77,Completed,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025059,2025-06-17,2026-01-10,Oklahoma City,OK,Oklahoma,40109,36.283854,-96.57037,Mixed-Use Development,PUD Planned Unit Development,34235,7818553.6,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025060,2025-05-13,2025-11-29,Tulsa,OK,Tulsa,40143,37.269624,-96.899997,Industrial Build-Out,I-1 Light Industrial,38343,8110301.34,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025061,2025-06-11,2026-08-24,Oklahoma City,OK,Oklahoma,40109,37.540291,-96.244342,Office Park,I-1 Light Industrial,32218,4482443.53,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025062,2025-08-13,2026-10-03,Wichita,KS,Sedgwick,20173,36.480174,-97.554496,Retail Complex,I-1 Light Industrial,43931,4277848.22,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025063,2025-05-22,2026-10-02,Wichita,KS,Sedgwick,20173,35.453573,-96.671353,Commercial Renovation,C-2 General Commercial,15013,3617562.34,Under Review,Pending,Passed,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025064,2025-08-07,2026-12-04,Oklahoma City,OK,Oklahoma,40109,36.422972,-96.883654,Commercial Renovation,I-1 Light Industrial,38574,4922663.62,Completed,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025065,2025-08-15,2025-10-25,Norman,OK,Cleveland,40027,36.084769,-97.384815,Food Processing Facility,C-1 Neighborhood Commercial,11498,3159824.25,Completed,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025066,2026-03-16,2027-03-01,Oklahoma City,OK,Oklahoma,40109,35.776317,-97.618614,Medical Facility,C-1 Neighborhood Commercial,56500,8382392.21,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025067,2026-01-04,2026-09-24,Tulsa,OK,Tulsa,40143,35.681359,-95.80413,Mixed-Use Development,I-1 Light Industrial,74478,20486048.82,Issued,Pending,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025068,2026-04-25,2027-07-25,Norman,OK,Cleveland,40027,36.956277,-97.568433,Retail Complex,I-1 Light Industrial,83550,21914430.15,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025069,2026-03-16,2026-06-12,Tulsa,OK,Tulsa,40143,37.730421,-95.959337,New Commercial Construction,M-1 Medical District,78844,17850870.71,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025070,2025-08-19,2026-01-04,Wichita,KS,Sedgwick,20173,37.669758,-97.716271,Retail Complex,I-2 Heavy Industrial,58085,6672184.24,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025071,2025-11-19,2027-02-04,Broken Arrow,OK,Tulsa,40143,36.084686,-96.687128,New Commercial Construction,PUD Planned Unit Development,8585,770925.45,Under Review,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025072,2026-05-11,2027-08-06,Norman,OK,Cleveland,40027,36.444877,-96.630069,Mixed-Use Development,C-1 Neighborhood Commercial,63657,13890774.1,Under Review,Pending,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025073,2025-02-03,2025-08-29,Wichita,KS,Sedgwick,20173,37.457991,-96.728574,Food Processing Facility,C-2 General Commercial,74015,13373664.0,Under Review,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025074,2025-11-28,2026-09-19,Norman,OK,Cleveland,40027,36.132551,-96.245642,Mixed-Use Development,I-1 Light Industrial,17472,3679489.37,Under Review,Yes,Pending,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025075,2026-05-04,2027-09-18,Norman,OK,Cleveland,40027,36.699346,-96.475136,Industrial Build-Out,M-1 Medical District,74527,11029081.91,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025076,2026-02-14,2027-05-15,Tulsa,OK,Tulsa,40143,36.307208,-96.793824,Office Park,I-2 Heavy Industrial,25039,4705415.96,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025077,2026-04-01,2026-08-13,Oklahoma City,OK,Oklahoma,40109,35.902866,-97.268632,Data Center,M-1 Medical District,78801,9008473.72,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025078,2025-08-04,2026-06-09,Wichita,KS,Sedgwick,20173,36.876734,-97.57914,Data Center,PUD Planned Unit Development,59463,8671168.44,Issued,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025079,2025-10-25,2027-04-17,Norman,OK,Cleveland,40027,37.564242,-96.66729,Office Park,M-1 Medical District,6822,1188543.5,Under Review,Pending,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025080,2025-03-09,2026-04-21,Oklahoma City,OK,Oklahoma,40109,36.893945,-97.326158,Medical Facility,C-2 General Commercial,72008,12752506.79,Completed,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025081,2026-02-09,2026-12-25,Tulsa,OK,Tulsa,40143,35.577649,-96.780083,Medical Facility,I-2 Heavy Industrial,60304,5511340.89,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025082,2025-07-06,2025-10-22,Wichita,KS,Sedgwick,20173,36.647258,-97.022098,Office Park,C-1 Neighborhood Commercial,9581,1323795.55,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025083,2026-01-31,2026-09-02,Broken Arrow,OK,Tulsa,40143,37.477031,-96.057253,Medical Facility,C-1 Neighborhood Commercial,52953,4750666.21,Issued,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025084,2025-08-03,2026-06-16,Oklahoma City,OK,Oklahoma,40109,35.96735,-97.390297,Retail Complex,I-1 Light Industrial,29342,7537042.16,Completed,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025085,2025-08-11,2025-11-26,Oklahoma City,OK,Oklahoma,40109,35.302632,-97.344707,New Commercial Construction,M-1 Medical District,61132,11484860.86,Issued,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025086,2025-11-04,2027-01-28,Norman,OK,Cleveland,40027,37.255515,-97.584443,Commercial Renovation,I-1 Light Industrial,15030,1566304.27,Completed,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025087,2026-04-03,2026-07-09,Broken Arrow,OK,Tulsa,40143,36.314796,-97.09701,Retail Complex,C-2 General Commercial,50261,11705484.36,Completed,Pending,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025088,2025-11-27,2026-11-26,Tulsa,OK,Tulsa,40143,35.506066,-96.627808,New Commercial Construction,PUD Planned Unit Development,83219,22473542.96,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025089,2026-01-15,2027-06-13,Broken Arrow,OK,Tulsa,40143,35.335349,-97.689016,Food Processing Facility,C-1 Neighborhood Commercial,24673,6221356.66,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025090,2026-01-03,2027-01-22,Norman,OK,Cleveland,40027,35.384153,-96.683047,Mixed-Use Development,PUD Planned Unit Development,18299,5395235.3,Issued,Pending,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025091,2026-05-21,2026-11-19,Wichita,KS,Sedgwick,20173,36.462802,-97.081892,Office Park,PUD Planned Unit Development,7197,915980.97,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025092,2026-01-09,2026-06-03,Oklahoma City,OK,Oklahoma,40109,37.371677,-97.63358,Food Processing Facility,M-1 Medical District,36486,8609690.18,Issued,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025093,2025-06-01,2025-08-27,Norman,OK,Cleveland,40027,36.753843,-96.956457,Mixed-Use Development,I-1 Light Industrial,8661,995753.72,Issued,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025094,2025-02-21,2025-09-21,Tulsa,OK,Tulsa,40143,37.209648,-97.001596,Data Center,C-2 General Commercial,4811,859458.03,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025095,2025-10-12,2026-07-28,Norman,OK,Cleveland,40027,36.439404,-96.619504,Retail Complex,M-1 Medical District,5175,1492661.49,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025096,2026-06-04,2027-06-06,Tulsa,OK,Tulsa,40143,37.362593,-96.106326,Mixed-Use Development,C-1 Neighborhood Commercial,64515,12034826.41,Issued,Yes,Pending,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025097,2026-01-02,2026-03-21,Norman,OK,Cleveland,40027,36.03098,-97.550662,Food Processing Facility,I-2 Heavy Industrial,21506,5528502.99,Completed,Yes,Pending,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025098,2025-08-20,2026-02-09,Oklahoma City,OK,Oklahoma,40109,36.423726,-97.401446,Medical Facility,M-1 Medical District,35850,8487748.95,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025099,2025-06-02,2025-09-23,Oklahoma City,OK,Oklahoma,40109,36.128073,-97.653403,Warehouse/Distribution,C-1 Neighborhood Commercial,70124,15970961.39,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025100,2025-12-28,2026-08-13,Norman,OK,Cleveland,40027,35.585698,-97.134233,Warehouse/Distribution,C-2 General Commercial,81183,12026448.31,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025101,2025-08-27,2026-06-24,Wichita,KS,Sedgwick,20173,35.353144,-96.411495,Office Park,M-1 Medical District,63622,8020063.25,Issued,Yes,Pending,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025102,2025-06-02,2026-09-22,Wichita,KS,Sedgwick,20173,37.633002,-97.10059,Office Park,PUD Planned Unit Development,39082,7626028.11,Issued,Pending,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025103,2025-06-16,2025-08-02,Wichita,KS,Sedgwick,20173,36.780566,-96.897919,Mixed-Use Development,M-1 Medical District,43332,6999701.01,Completed,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025104,2025-04-04,2026-04-13,Tulsa,OK,Tulsa,40143,35.66363,-96.633271,Office Park,I-1 Light Industrial,68547,15046769.98,Issued,Yes,Pending,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025105,2025-10-08,2026-04-01,Tulsa,OK,Tulsa,40143,36.23388,-97.283068,Medical Facility,I-2 Heavy Industrial,34251,10462495.88,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025106,2026-06-09,2027-08-12,Oklahoma City,OK,Oklahoma,40109,36.597385,-96.657289,Medical Facility,I-2 Heavy Industrial,33890,10627993.13,Issued,Pending,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025107,2026-05-14,2027-07-05,Broken Arrow,OK,Tulsa,40143,36.801851,-97.470388,New Commercial Construction,M-1 Medical District,83568,19290079.72,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025108,2026-01-03,2026-09-10,Broken Arrow,OK,Tulsa,40143,37.117129,-96.000307,Mixed-Use Development,I-2 Heavy Industrial,47758,4376526.38,Under Review,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025109,2025-11-09,2027-04-05,Norman,OK,Cleveland,40027,37.738012,-96.481028,Mixed-Use Development,I-1 Light Industrial,19644,3850113.34,Issued,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025110,2025-03-31,2026-06-25,Tulsa,OK,Tulsa,40143,35.899973,-97.607576,Industrial Build-Out,C-2 General Commercial,70878,20623138.99,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025111,2025-01-15,2025-03-06,Tulsa,OK,Tulsa,40143,37.453929,-97.193091,Data Center,I-2 Heavy Industrial,48534,13597681.78,Under Review,Yes,Pending,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025112,2026-01-20,2026-05-27,Oklahoma City,OK,Oklahoma,40109,35.518986,-96.224832,Mixed-Use Development,C-2 General Commercial,42834,8377541.79,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025113,2025-04-16,2025-11-03,Broken Arrow,OK,Tulsa,40143,36.906913,-95.800982,Medical Facility,C-2 General Commercial,32231,10108624.63,Completed,Pending,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025114,2025-01-01,2025-05-19,Broken Arrow,OK,Tulsa,40143,36.630408,-97.735595,Medical Facility,C-1 Neighborhood Commercial,55965,13343839.2,Issued,Pending,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025115,2025-09-20,2025-11-13,Wichita,KS,Sedgwick,20173,37.390374,-97.180876,Office Park,I-1 Light Industrial,57049,7149716.55,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
