record_id,week_start_date,week_end_date,zip_code,city,state,county,facility_name,icd10_code,diagnosis_description,admission_count,er_visit_count,avg_length_of_stay,avg_aqi_for_week,data_source,reporting_period,data_classification,hipaa_compliant,certified
HAR-10010,2025-01-01,2025-01-07,73102,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J22,Acute lower respiratory infection,15,30,3.1,53.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10011,2025-01-01,2025-01-07,73102,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J45.2,Moderate persistent asthma,20,38,3.1,46.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10012,2025-01-01,2025-01-07,73103,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J45.2,Moderate persistent asthma,16,30,1.8,58.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10013,2025-01-01,2025-01-07,73103,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J22,Acute lower respiratory infection,15,34,3.5,57.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10014,2025-01-01,2025-01-07,73103,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J45.1,Mild persistent asthma,21,38,2.1,62.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10015,2025-01-01,2025-01-07,73103,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J22,Acute lower respiratory infection,12,40,2.8,54.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10016,2025-01-01,2025-01-07,73103,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J45.1,Mild persistent asthma,28,52,3.6,40.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10017,2025-01-01,2025-01-07,73103,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J45.2,Moderate persistent asthma,19,38,3.1,67.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10018,2025-01-01,2025-01-07,74101,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J45.1,Mild persistent asthma,15,48,3.4,43.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10019,2025-01-01,2025-01-07,74101,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J06.9,Acute upper respiratory infection,16,40,3.3,31.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10020,2025-01-01,2025-01-07,74101,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J45.2,Moderate persistent asthma,19,50,4.0,47.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10021,2025-01-01,2025-01-07,74101,Tulsa,OK,Tulsa,OU Health University Hospital,R05,Cough,21,33,2.6,30.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10022,2025-01-01,2025-01-07,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J45.1,Mild persistent asthma,13,32,3.2,43.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10023,2025-01-01,2025-01-07,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J22,Acute lower respiratory infection,15,44,3.0,60.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10024,2025-01-01,2025-01-07,74102,Tulsa,OK,Tulsa,Mercy Hospital OKC,J45.1,Mild persistent asthma,23,35,4.7,41.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10025,2025-01-01,2025-01-07,74102,Tulsa,OK,Tulsa,Mercy Hospital OKC,J22,Acute lower respiratory infection,16,45,1.9,26.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10026,2025-01-01,2025-01-07,74102,Tulsa,OK,Tulsa,Mercy Hospital OKC,R05,Cough,16,38,1.8,53.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10027,2025-01-01,2025-01-07,74102,Tulsa,OK,Tulsa,OU Health University Hospital,R05,Cough,14,41,2.8,63.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10028,2025-01-01,2025-01-07,74102,Tulsa,OK,Tulsa,OU Health University Hospital,J06.9,Acute upper respiratory infection,13,32,1.7,44.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10029,2025-01-01,2025-01-07,74102,Tulsa,OK,Tulsa,OU Health University Hospital,J18.9,"Pneumonia, unspecified",19,51,3.2,52.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10030,2025-01-01,2025-01-07,67201,Wichita,KS,Sedgwick,Ascension Via Christi Wichita,J45.1,Mild persistent asthma,13,44,3.8,48.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10031,2025-01-01,2025-01-07,67201,Wichita,KS,Sedgwick,Ascension Via Christi Wichita,J22,Acute lower respiratory infection,12,30,3.8,18.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10032,2025-01-01,2025-01-07,67201,Wichita,KS,Sedgwick,Ascension Via Christi Wichita,J18.9,"Pneumonia, unspecified",22,26,3.8,14.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10033,2025-01-01,2025-01-07,67201,Wichita,KS,Sedgwick,OU Health University Hospital,J44.1,COPD with acute exacerbation,18,48,4.0,72.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10034,2025-01-01,2025-01-07,67201,Wichita,KS,Sedgwick,OU Health University Hospital,J18.9,"Pneumonia, unspecified",24,36,2.0,41.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10035,2025-01-01,2025-01-07,67201,Wichita,KS,Sedgwick,OU Health University Hospital,J45.2,Moderate persistent asthma,10,42,2.3,34.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10036,2025-01-01,2025-01-07,67202,Wichita,KS,Sedgwick,OU Health University Hospital,R05,Cough,12,36,3.2,49.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10037,2025-01-01,2025-01-07,67202,Wichita,KS,Sedgwick,OU Health University Hospital,J22,Acute lower respiratory infection,23,40,3.3,49.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10038,2025-01-01,2025-01-07,67202,Wichita,KS,Sedgwick,OU Health University Hospital,J45.0,Mild intermittent asthma,24,53,3.0,49.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10039,2025-01-01,2025-01-07,67202,Wichita,KS,Sedgwick,University of Kansas Health System,J45.1,Mild persistent asthma,16,41,3.3,60.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10040,2025-01-01,2025-01-07,67202,Wichita,KS,Sedgwick,University of Kansas Health System,J45.2,Moderate persistent asthma,17,55,4.1,43.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10041,2025-01-01,2025-01-07,67202,Wichita,KS,Sedgwick,University of Kansas Health System,J44.1,COPD with acute exacerbation,14,44,5.3,38.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10042,2025-01-01,2025-01-07,66101,Kansas City,KS,Wyandotte,University of Kansas Health System,J45.1,Mild persistent asthma,19,52,3.9,46.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10043,2025-01-01,2025-01-07,66101,Kansas City,KS,Wyandotte,University of Kansas Health System,J45.2,Moderate persistent asthma,16,35,1.9,47.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10044,2025-01-01,2025-01-07,66101,Kansas City,KS,Wyandotte,University of Kansas Health System,J06.9,Acute upper respiratory infection,14,41,3.4,22.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10045,2025-01-01,2025-01-07,66101,Kansas City,KS,Wyandotte,Ascension Via Christi Wichita,J45.0,Mild intermittent asthma,14,44,3.8,25.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10046,2025-01-01,2025-01-07,66101,Kansas City,KS,Wyandotte,Ascension Via Christi Wichita,J22,Acute lower respiratory infection,18,43,2.3,45.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10047,2025-01-01,2025-01-07,66101,Kansas City,KS,Wyandotte,Ascension Via Christi Wichita,J44.1,COPD with acute exacerbation,15,30,2.6,55.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10048,2025-01-08,2025-01-14,73101,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J44.1,COPD with acute exacerbation,15,26,3.8,46.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10049,2025-01-08,2025-01-14,73101,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J45.1,Mild persistent asthma,11,26,2.9,36.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10050,2025-01-08,2025-01-14,73101,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J06.9,Acute upper respiratory infection,15,41,3.3,25.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10051,2025-01-08,2025-01-14,73101,Oklahoma City,OK,Oklahoma,University of Kansas Health System,R05,Cough,17,42,4.4,41.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10052,2025-01-08,2025-01-14,73101,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J44.1,COPD with acute exacerbation,22,33,1.8,55.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10053,2025-01-08,2025-01-14,73101,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J18.9,"Pneumonia, unspecified",12,45,2.4,53.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10054,2025-01-08,2025-01-14,73102,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J45.0,Mild intermittent asthma,19,41,2.9,24.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10055,2025-01-08,2025-01-14,73102,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,R05,Cough,18,35,3.0,55.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10056,2025-01-08,2025-01-14,73102,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J22,Acute lower respiratory infection,8,35,3.6,51.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10057,2025-01-08,2025-01-14,73102,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,R05,Cough,10,46,3.1,75.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10058,2025-01-08,2025-01-14,73102,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J18.9,"Pneumonia, unspecified",19,46,3.7,18.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10059,2025-01-08,2025-01-14,73102,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J45.0,Mild intermittent asthma,18,39,1.7,32.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10060,2025-01-08,2025-01-14,73103,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J22,Acute lower respiratory infection,14,34,2.5,36.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10061,2025-01-08,2025-01-14,73103,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J45.0,Mild intermittent asthma,11,53,2.5,33.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10062,2025-01-08,2025-01-14,73103,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J45.2,Moderate persistent asthma,15,34,1.7,40.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10063,2025-01-08,2025-01-14,73103,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,R05,Cough,9,37,2.7,51.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10064,2025-01-08,2025-01-14,73103,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J45.0,Mild intermittent asthma,17,48,2.6,37.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10065,2025-01-08,2025-01-14,73103,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J18.9,"Pneumonia, unspecified",24,56,3.4,44.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10066,2025-01-08,2025-01-14,74101,Tulsa,OK,Tulsa,Wesley Medical Center Wichita,J45.2,Moderate persistent asthma,14,31,2.5,33.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10067,2025-01-08,2025-01-14,74101,Tulsa,OK,Tulsa,Wesley Medical Center Wichita,R05,Cough,14,35,2.9,53.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10068,2025-01-08,2025-01-14,74101,Tulsa,OK,Tulsa,Wesley Medical Center Wichita,J06.9,Acute upper respiratory infection,13,27,3.5,41.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10069,2025-01-08,2025-01-14,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J45.1,Mild persistent asthma,18,29,2.0,29.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10070,2025-01-08,2025-01-14,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J45.0,Mild intermittent asthma,18,32,2.9,55.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10071,2025-01-08,2025-01-14,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J44.1,COPD with acute exacerbation,13,34,3.4,60.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10072,2025-01-08,2025-01-14,74102,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J45.0,Mild intermittent asthma,14,40,4.9,27.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10073,2025-01-08,2025-01-14,74102,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,R05,Cough,16,49,3.0,38.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10074,2025-01-08,2025-01-14,74102,Tulsa,OK,Tulsa,St. Francis Hospital Tulsa,J44.1,COPD with acute exacerbation,13,41,4.2,49.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10075,2025-01-08,2025-01-14,74102,Tulsa,OK,Tulsa,Wesley Medical Center Wichita,J45.2,Moderate persistent asthma,23,42,4.0,74.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10076,2025-01-08,2025-01-14,74102,Tulsa,OK,Tulsa,Wesley Medical Center Wichita,J22,Acute lower respiratory infection,8,29,2.4,29.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10077,2025-01-08,2025-01-14,74102,Tulsa,OK,Tulsa,Wesley Medical Center Wichita,J45.0,Mild intermittent asthma,24,39,4.0,48.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10078,2025-01-08,2025-01-14,67201,Wichita,KS,Sedgwick,University of Kansas Health System,J44.1,COPD with acute exacerbation,16,20,2.3,30.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10079,2025-01-08,2025-01-14,67201,Wichita,KS,Sedgwick,University of Kansas Health System,J45.0,Mild intermittent asthma,9,58,2.8,27.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10080,2025-01-08,2025-01-14,67201,Wichita,KS,Sedgwick,University of Kansas Health System,J18.9,"Pneumonia, unspecified",18,39,2.4,37.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10081,2025-01-08,2025-01-14,67201,Wichita,KS,Sedgwick,OU Health University Hospital,R05,Cough,21,43,3.3,50.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10082,2025-01-08,2025-01-14,67201,Wichita,KS,Sedgwick,OU Health University Hospital,J45.0,Mild intermittent asthma,17,22,4.0,36.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10083,2025-01-08,2025-01-14,67201,Wichita,KS,Sedgwick,OU Health University Hospital,J44.1,COPD with acute exacerbation,17,36,3.5,20.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10084,2025-01-08,2025-01-14,67202,Wichita,KS,Sedgwick,Wesley Medical Center Wichita,J45.2,Moderate persistent asthma,20,45,2.0,50.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10085,2025-01-08,2025-01-14,67202,Wichita,KS,Sedgwick,Wesley Medical Center Wichita,J45.1,Mild persistent asthma,15,38,2.4,44.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10086,2025-01-08,2025-01-14,67202,Wichita,KS,Sedgwick,Wesley Medical Center Wichita,R05,Cough,12,37,3.3,49.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10087,2025-01-08,2025-01-14,67202,Wichita,KS,Sedgwick,OU Health University Hospital,J44.1,COPD with acute exacerbation,15,30,2.8,40.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10088,2025-01-08,2025-01-14,67202,Wichita,KS,Sedgwick,OU Health University Hospital,J22,Acute lower respiratory infection,8,55,3.5,55.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10089,2025-01-08,2025-01-14,67202,Wichita,KS,Sedgwick,OU Health University Hospital,J45.0,Mild intermittent asthma,24,30,3.9,71.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10090,2025-01-08,2025-01-14,66101,Kansas City,KS,Wyandotte,Mercy Hospital OKC,J45.2,Moderate persistent asthma,23,36,3.7,29.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10091,2025-01-08,2025-01-14,66101,Kansas City,KS,Wyandotte,Mercy Hospital OKC,J45.0,Mild intermittent asthma,14,32,3.2,48.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10092,2025-01-08,2025-01-14,66101,Kansas City,KS,Wyandotte,Mercy Hospital OKC,J22,Acute lower respiratory infection,20,47,3.3,67.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10093,2025-01-08,2025-01-14,66101,Kansas City,KS,Wyandotte,University of Kansas Health System,J44.1,COPD with acute exacerbation,15,38,2.0,41.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10094,2025-01-08,2025-01-14,66101,Kansas City,KS,Wyandotte,University of Kansas Health System,J18.9,"Pneumonia, unspecified",23,32,3.5,55.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10095,2025-01-08,2025-01-14,66101,Kansas City,KS,Wyandotte,University of Kansas Health System,J06.9,Acute upper respiratory infection,14,36,2.5,52.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10096,2025-01-15,2025-01-21,73101,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J22,Acute lower respiratory infection,19,47,2.9,37.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10097,2025-01-15,2025-01-21,73101,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J44.1,COPD with acute exacerbation,12,46,4.1,44.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10098,2025-01-15,2025-01-21,73101,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J06.9,Acute upper respiratory infection,20,44,4.0,55.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10099,2025-01-15,2025-01-21,73101,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J06.9,Acute upper respiratory infection,12,32,4.0,40.9,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10100,2025-01-15,2025-01-21,73101,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,R05,Cough,11,34,4.8,33.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10101,2025-01-15,2025-01-21,73101,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J45.0,Mild intermittent asthma,16,38,3.9,44.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10102,2025-01-15,2025-01-21,73102,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J22,Acute lower respiratory infection,12,42,3.7,30.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10103,2025-01-15,2025-01-21,73102,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J45.2,Moderate persistent asthma,13,30,3.0,20.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10104,2025-01-15,2025-01-21,73102,Oklahoma City,OK,Oklahoma,Wesley Medical Center Wichita,J06.9,Acute upper respiratory infection,16,40,4.7,49.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10105,2025-01-15,2025-01-21,73102,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J06.9,Acute upper respiratory infection,16,36,3.4,41.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10106,2025-01-15,2025-01-21,73102,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J45.2,Moderate persistent asthma,22,51,3.6,40.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10107,2025-01-15,2025-01-21,73102,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J44.1,COPD with acute exacerbation,26,44,2.1,28.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10108,2025-01-15,2025-01-21,73103,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,R05,Cough,23,47,2.1,42.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10109,2025-01-15,2025-01-21,73103,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J45.0,Mild intermittent asthma,13,43,2.9,33.7,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10110,2025-01-15,2025-01-21,73103,Oklahoma City,OK,Oklahoma,Mercy Hospital OKC,J22,Acute lower respiratory infection,27,52,1.4,50.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10111,2025-01-15,2025-01-21,73103,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J45.0,Mild intermittent asthma,17,44,3.4,46.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10112,2025-01-15,2025-01-21,73103,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J18.9,"Pneumonia, unspecified",19,29,2.0,8.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10113,2025-01-15,2025-01-21,73103,Oklahoma City,OK,Oklahoma,OU Health University Hospital,J45.1,Mild persistent asthma,10,27,2.5,59.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10114,2025-01-15,2025-01-21,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J45.1,Mild persistent asthma,15,35,3.1,52.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10115,2025-01-15,2025-01-21,74101,Tulsa,OK,Tulsa,OU Health University Hospital,J06.9,Acute upper respiratory infection,25,47,4.1,16.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10116,2025-01-15,2025-01-21,74101,Tulsa,OK,Tulsa,OU Health University Hospital,R05,Cough,16,37,3.7,65.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10117,2025-01-15,2025-01-21,74101,Tulsa,OK,Tulsa,University of Kansas Health System,J45.1,Mild persistent asthma,13,31,1.7,30.2,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10118,2025-01-15,2025-01-21,74101,Tulsa,OK,Tulsa,University of Kansas Health System,J22,Acute lower respiratory infection,18,38,3.4,35.3,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
