measurement_date,station_id,city,state,county,latitude,longitude,elevation_m,pollutant_code,pollutant_name,measurement_value,unit_of_measure,naaqs_standard,aqi_value,aqi_category,exceeds_naaqs,data_source,method,quality_flag,certified
2025-01-01,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,O3,Ozone,28.701,ppb,70.0,41,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,NO2,Nitrogen Dioxide,15.199,ppb,100.0,15,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,SO2,Sulfur Dioxide,1.515,ppb,75.0,2,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,CO,Carbon Monoxide,0.603,ppm,9.0,6,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,PM2.5,Fine Particulate Matter,8.237,µg/m³,12.0,68,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,PM10,Coarse Particulate Matter,13.881,µg/m³,150.0,9,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,O3,Ozone,66.988,ppb,70.0,95,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,NO2,Nitrogen Dioxide,17.15,ppb,100.0,17,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,SO2,Sulfur Dioxide,2.811,ppb,75.0,3,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,CO,Carbon Monoxide,0.29,ppm,9.0,3,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,PM2.5,Fine Particulate Matter,9.728,µg/m³,12.0,81,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,PM10,Coarse Particulate Matter,24.849,µg/m³,150.0,16,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,O3,Ozone,35.588,ppb,70.0,50,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,NO2,Nitrogen Dioxide,20.639,ppb,100.0,20,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,SO2,Sulfur Dioxide,2.009,ppb,75.0,2,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,CO,Carbon Monoxide,0.493,ppm,9.0,5,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,PM2.5,Fine Particulate Matter,9.493,µg/m³,12.0,79,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,PM10,Coarse Particulate Matter,37.386,µg/m³,150.0,24,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,O3,Ozone,49.238,ppb,70.0,70,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,NO2,Nitrogen Dioxide,12.325,ppb,100.0,12,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,SO2,Sulfur Dioxide,3.717,ppb,75.0,4,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,CO,Carbon Monoxide,0.326,ppm,9.0,3,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,PM2.5,Fine Particulate Matter,12.816,µg/m³,12.0,106,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,PM10,Coarse Particulate Matter,9.94,µg/m³,150.0,6,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,O3,Ozone,33.462,ppb,70.0,47,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,NO2,Nitrogen Dioxide,19.602,ppb,100.0,19,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,SO2,Sulfur Dioxide,3.616,ppb,75.0,4,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,CO,Carbon Monoxide,0.577,ppm,9.0,6,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,PM2.5,Fine Particulate Matter,11.486,µg/m³,12.0,95,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,PM10,Coarse Particulate Matter,21.882,µg/m³,150.0,14,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,O3,Ozone,31.658,ppb,70.0,45,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,NO2,Nitrogen Dioxide,14.285,ppb,100.0,14,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,SO2,Sulfur Dioxide,2.177,ppb,75.0,2,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,CO,Carbon Monoxide,0.736,ppm,9.0,8,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,13.369,µg/m³,12.0,111,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,11.356,µg/m³,150.0,7,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,53.289,ppb,70.0,76,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,16.227,ppb,100.0,16,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,1.918,ppb,75.0,2,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.656,ppm,9.0,7,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,PM2.5,Fine Particulate Matter,16.187,µg/m³,12.0,134,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,PM10,Coarse Particulate Matter,30.755,µg/m³,150.0,20,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,O3,Ozone,39.329,ppb,70.0,56,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,NO2,Nitrogen Dioxide,16.667,ppb,100.0,16,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,SO2,Sulfur Dioxide,3.128,ppb,75.0,4,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,CO,Carbon Monoxide,0.722,ppm,9.0,8,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,PM2.5,Fine Particulate Matter,9.995,µg/m³,12.0,83,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,PM10,Coarse Particulate Matter,22.713,µg/m³,150.0,15,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,O3,Ozone,36.124,ppb,70.0,51,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,NO2,Nitrogen Dioxide,11.522,ppb,100.0,11,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,SO2,Sulfur Dioxide,3.705,ppb,75.0,4,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,CO,Carbon Monoxide,0.79,ppm,9.0,8,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,PM2.5,Fine Particulate Matter,11.665,µg/m³,12.0,97,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,PM10,Coarse Particulate Matter,31.275,µg/m³,150.0,20,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,O3,Ozone,53.74,ppb,70.0,76,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,NO2,Nitrogen Dioxide,14.718,ppb,100.0,14,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,SO2,Sulfur Dioxide,3.164,ppb,75.0,4,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,CO,Carbon Monoxide,0.823,ppm,9.0,9,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,PM2.5,Fine Particulate Matter,11.813,µg/m³,12.0,98,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,PM10,Coarse Particulate Matter,35.315,µg/m³,150.0,23,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,O3,Ozone,17.963,ppb,70.0,25,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,NO2,Nitrogen Dioxide,23.227,ppb,100.0,23,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,SO2,Sulfur Dioxide,2.834,ppb,75.0,3,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,CO,Carbon Monoxide,0.492,ppm,9.0,5,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,PM2.5,Fine Particulate Matter,12.336,µg/m³,12.0,102,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,PM10,Coarse Particulate Matter,9.74,µg/m³,150.0,6,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,O3,Ozone,46.764,ppb,70.0,66,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,NO2,Nitrogen Dioxide,20.531,ppb,100.0,20,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,SO2,Sulfur Dioxide,4.503,ppb,75.0,6,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-173-0002,Wichita,KS,Sedgwick County,37.7528,-97.2814,412,CO,Carbon Monoxide,0.453,ppm,9.0,5,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,PM2.5,Fine Particulate Matter,8.645,µg/m³,12.0,72,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,PM10,Coarse Particulate Matter,20.437,µg/m³,150.0,13,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,O3,Ozone,60.385,ppb,70.0,86,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,NO2,Nitrogen Dioxide,20.367,ppb,100.0,20,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,SO2,Sulfur Dioxide,2.094,ppb,75.0,2,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0001,Topeka,KS,Shawnee County,39.0473,-95.6752,274,CO,Carbon Monoxide,0.638,ppm,9.0,7,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,PM2.5,Fine Particulate Matter,12.358,µg/m³,12.0,102,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,PM10,Coarse Particulate Matter,31.024,µg/m³,150.0,20,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,O3,Ozone,40.975,ppb,70.0,58,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,NO2,Nitrogen Dioxide,16.56,ppb,100.0,16,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,SO2,Sulfur Dioxide,2.259,ppb,75.0,3,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-02,20-091-0002,Topeka,KS,Shawnee County,39.0614,-95.7231,268,CO,Carbon Monoxide,0.283,ppm,9.0,3,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,13.174,µg/m³,12.0,109,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,25.93,µg/m³,150.0,17,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,49.461,ppb,70.0,70,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,17.099,ppb,100.0,17,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,1.032,ppb,75.0,1,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.47,ppm,9.0,5,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,PM2.5,Fine Particulate Matter,10.555,µg/m³,12.0,87,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,PM10,Coarse Particulate Matter,18.274,µg/m³,150.0,12,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,O3,Ozone,47.465,ppb,70.0,67,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,NO2,Nitrogen Dioxide,20.803,ppb,100.0,20,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,SO2,Sulfur Dioxide,4.993,ppb,75.0,6,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,CO,Carbon Monoxide,0.577,ppm,9.0,6,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,PM2.5,Fine Particulate Matter,13.016,µg/m³,12.0,108,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,PM10,Coarse Particulate Matter,23.514,µg/m³,150.0,15,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,O3,Ozone,26.375,ppb,70.0,37,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,NO2,Nitrogen Dioxide,18.306,ppb,100.0,18,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,SO2,Sulfur Dioxide,2.802,ppb,75.0,3,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,CO,Carbon Monoxide,0.989,ppm,9.0,10,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,PM2.5,Fine Particulate Matter,11.171,µg/m³,12.0,93,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,PM10,Coarse Particulate Matter,26.221,µg/m³,150.0,17,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,O3,Ozone,48.983,ppb,70.0,69,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,NO2,Nitrogen Dioxide,11.682,ppb,100.0,11,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,SO2,Sulfur Dioxide,4.101,ppb,75.0,5,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,40-143-0002,Tulsa,OK,Tulsa County,36.0731,-95.8731,196,CO,Carbon Monoxide,0.681,ppm,9.0,7,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,PM2.5,Fine Particulate Matter,15.203,µg/m³,12.0,126,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,PM10,Coarse Particulate Matter,17.502,µg/m³,150.0,11,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,O3,Ozone,66.234,ppb,70.0,94,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,NO2,Nitrogen Dioxide,10.329,ppb,100.0,10,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-03,20-173-0001,Wichita,KS,Sedgwick County,37.6872,-97.3301,408,SO2,Sulfur Dioxide,3.434,ppb,75.0,4,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
